Timestamp,Channel,Product,Customer_Comment,Sentiment,Customer_ID
2025-06-16 11:43:00,Mobile App,Customer Support,Loan approval taking too long,Negative,CUST8435
2025-06-11 11:43:00,Email,Mobile Banking,Payment failed but amount deducted,Negative,CUST7983
2025-07-03 11:43:00,Chat,Credit Card,App keeps crashing during login,Neutral,CUST4627
2025-07-02 11:43:00,Email,Credit Card,Unable to reset password,Negative,CUST3773
2025-07-15 11:43:00,Email,Mobile Banking,Credit card blocked without notice,Neutral,CUST3890
2025-05-24 11:43:00,Mobile App,Personal Loan,Wrong interest rate applied,Negative,CUST7091
2025-07-01 11:43:00,Call,Mobile Banking,Credit card blocked without notice,Negative,CUST4777
2025-06-22 11:43:00,Call,Savings Account,Agent was rude during call,Negative,CUST6330
2025-06-29 11:43:00,Email,Customer Support,Loan approval taking too long,Negative,CUST2332
2025-07-11 11:43:00,Mobile App,Credit Card,Unexpected charges on statement,Negative,CUST1710
2025-07-12 11:43:00,Web Form,Personal Loan,Payment failed but amount deducted,Positive,CUST1292
2025-05-26 11:43:00,Chat,Credit Card,Payment failed but amount deducted,Negative,CUST2222
2025-07-09 11:43:00,Email,Personal Loan,Wrong interest rate applied,Negative,CUST2276
2025-06-16 11:43:00,Email,Credit Card,Agent was rude during call,Neutral,CUST2006
2025-05-25 11:43:00,Call,Mobile Banking,Confusing terms in personal loan policy,Negative,CUST9316
2025-05-27 11:43:00,Chat,Savings Account,Wrong interest rate applied,Negative,CUST8478
2025-05-22 11:43:00,Web Form,Mobile Banking,App keeps crashing during login,Negative,CUST1491
2025-06-01 11:43:00,Web Form,Mobile Banking,Unable to reset password,Negative,CUST3797
2025-06-04 11:43:00,Email,Customer Support,Delayed response from support team,Neutral,CUST4929
2025-06-23 11:43:00,Email,Savings Account,Confusing terms in personal loan policy,Negative,CUST4489
2025-07-09 11:43:00,Email,Credit Card,Wrong interest rate applied,Neutral,CUST1002
2025-06-24 11:43:00,Call,Customer Support,Wrong interest rate applied,Negative,CUST3026
2025-06-22 11:43:00,Mobile App,Personal Loan,Delayed response from support team,Positive,CUST9614
2025-05-25 11:43:00,Email,Savings Account,Agent was rude during call,Negative,CUST2037
2025-06-11 11:43:00,Email,Savings Account,Unable to reset password,Positive,CUST7989
2025-05-20 11:43:00,Chat,Personal Loan,Payment failed but amount deducted,Negative,CUST3214
2025-05-21 11:43:00,Web Form,Savings Account,Confusing terms in personal loan policy,Negative,CUST4696
2025-07-13 11:43:00,Call,Mobile Banking,Loan approval taking too long,Negative,CUST4763
2025-06-06 11:43:00,Call,Savings Account,Unexpected charges on statement,Negative,CUST6216
2025-07-01 11:43:00,Chat,Personal Loan,Unable to reset password,Negative,CUST7079
2025-07-14 11:43:00,Call,Credit Card,Unexpected charges on statement,Negative,CUST1384
2025-05-24 11:43:00,Email,Savings Account,Payment failed but amount deducted,Negative,CUST2814
2025-05-16 11:43:00,Email,Mobile Banking,Agent was rude during call,Negative,CUST4578
2025-06-01 11:43:00,Chat,Personal Loan,Loan approval taking too long,Negative,CUST5588
2025-07-09 11:43:00,Email,Personal Loan,Agent was rude during call,Negative,CUST8501
2025-05-21 11:43:00,Web Form,Personal Loan,Unable to reset password,Neutral,CUST7831
2025-06-04 11:43:00,Mobile App,Customer Support,Confusing terms in personal loan policy,Negative,CUST6158
2025-06-06 11:43:00,Chat,Personal Loan,Unable to reset password,Positive,CUST5030
2025-07-10 11:43:00,Chat,Personal Loan,Confusing terms in personal loan policy,Neutral,CUST7173
2025-05-28 11:43:00,Chat,Credit Card,Delayed response from support team,Negative,CUST3011
2025-05-22 11:43:00,Chat,Customer Support,Delayed response from support team,Negative,CUST8158
2025-06-19 11:43:00,Call,Mobile Banking,Credit card blocked without notice,Neutral,CUST4133
2025-05-16 11:43:00,Chat,Personal Loan,Unable to reset password,Negative,CUST6241
2025-05-26 11:43:00,Web Form,Customer Support,Payment failed but amount deducted,Neutral,CUST3273
2025-07-10 11:43:00,Web Form,Personal Loan,Unexpected charges on statement,Neutral,CUST6676
2025-06-02 11:43:00,Call,Personal Loan,Confusing terms in personal loan policy,Negative,CUST4267
2025-07-07 11:43:00,Call,Customer Support,Wrong interest rate applied,Negative,CUST1804
2025-05-29 11:43:00,Web Form,Savings Account,Agent was rude during call,Negative,CUST5138
2025-06-12 11:43:00,Email,Credit Card,Agent was rude during call,Negative,CUST7846
2025-06-23 11:43:00,Email,Customer Support,Wrong interest rate applied,Negative,CUST3369
2025-05-24 11:43:00,Mobile App,Credit Card,Agent was rude during call,Neutral,CUST4593
2025-06-30 11:43:00,Mobile App,Credit Card,Delayed response from support team,Neutral,CUST4094
2025-07-11 11:43:00,Web Form,Customer Support,Unexpected charges on statement,Negative,CUST6720
2025-06-24 11:43:00,Mobile App,Credit Card,Agent was rude during call,Negative,CUST8522
2025-05-28 11:43:00,Mobile App,Mobile Banking,Unable to reset password,Negative,CUST8009
2025-07-07 11:43:00,Email,Savings Account,Unexpected charges on statement,Positive,CUST3777
2025-07-06 11:43:00,Chat,Customer Support,Delayed response from support team,Negative,CUST1492
2025-05-25 11:43:00,Chat,Personal Loan,Agent was rude during call,Negative,CUST6474
2025-05-22 11:43:00,Mobile App,Mobile Banking,Unexpected charges on statement,Neutral,CUST9071
2025-07-10 11:43:00,Mobile App,Credit Card,Delayed response from support team,Negative,CUST4538
2025-06-01 11:43:00,Email,Credit Card,Loan approval taking too long,Neutral,CUST8195
2025-05-21 11:43:00,Chat,Personal Loan,Agent was rude during call,Positive,CUST1277
2025-06-14 11:43:00,Chat,Customer Support,Payment failed but amount deducted,Negative,CUST9567
2025-06-23 11:43:00,Web Form,Mobile Banking,Payment failed but amount deducted,Neutral,CUST2621
2025-05-20 11:43:00,Web Form,Customer Support,Confusing terms in personal loan policy,Negative,CUST3006
2025-05-23 11:43:00,Web Form,Customer Support,Payment failed but amount deducted,Positive,CUST9518
2025-05-28 11:43:00,Chat,Customer Support,Agent was rude during call,Negative,CUST6387
2025-05-21 11:43:00,Chat,Mobile Banking,Agent was rude during call,Negative,CUST4675
2025-06-23 11:43:00,Web Form,Savings Account,Loan approval taking too long,Negative,CUST1105
2025-06-20 11:43:00,Call,Credit Card,Confusing terms in personal loan policy,Positive,CUST1757
2025-06-27 11:43:00,Web Form,Personal Loan,Unable to reset password,Negative,CUST2305
2025-06-19 11:43:00,Chat,Savings Account,Confusing terms in personal loan policy,Negative,CUST9382
2025-06-05 11:43:00,Web Form,Credit Card,Loan approval taking too long,Negative,CUST4064
2025-06-04 11:43:00,Chat,Customer Support,Agent was rude during call,Negative,CUST6571
2025-06-15 11:43:00,Mobile App,Mobile Banking,Confusing terms in personal loan policy,Negative,CUST8698
2025-07-03 11:43:00,Call,Personal Loan,Payment failed but amount deducted,Positive,CUST5452
2025-06-05 11:43:00,Email,Customer Support,Payment failed but amount deducted,Negative,CUST3222
2025-05-29 11:43:00,Chat,Personal Loan,Payment failed but amount deducted,Positive,CUST2661
2025-05-29 11:43:00,Call,Mobile Banking,Payment failed but amount deducted,Neutral,CUST5232
2025-07-11 11:43:00,Web Form,Credit Card,Unable to reset password,Neutral,CUST8460
2025-06-29 11:43:00,Email,Credit Card,Wrong interest rate applied,Negative,CUST3042
2025-07-12 11:43:00,Email,Personal Loan,Agent was rude during call,Neutral,CUST5523
2025-07-10 11:43:00,Mobile App,Mobile Banking,Agent was rude during call,Negative,CUST4369
2025-06-22 11:43:00,Mobile App,Credit Card,Wrong interest rate applied,Positive,CUST9400
2025-06-06 11:43:00,Web Form,Customer Support,Unexpected charges on statement,Negative,CUST7979
2025-05-18 11:43:00,Call,Mobile Banking,Agent was rude during call,Negative,CUST6032
2025-05-20 11:43:00,Mobile App,Savings Account,Payment failed but amount deducted,Neutral,CUST7399
2025-06-10 11:43:00,Call,Personal Loan,Delayed response from support team,Negative,CUST9097
2025-05-27 11:43:00,Chat,Mobile Banking,App keeps crashing during login,Negative,CUST9568
2025-07-03 11:43:00,Chat,Personal Loan,Credit card blocked without notice,Negative,CUST2049
2025-06-17 11:43:00,Web Form,Credit Card,Delayed response from support team,Negative,CUST2363
2025-05-19 11:43:00,Call,Personal Loan,Credit card blocked without notice,Negative,CUST5498
2025-05-20 11:43:00,Email,Savings Account,Unable to reset password,Neutral,CUST1839
2025-06-06 11:43:00,Web Form,Personal Loan,Unexpected charges on statement,Negative,CUST9092
2025-07-02 11:43:00,Web Form,Mobile Banking,Agent was rude during call,Neutral,CUST1806
2025-06-17 11:43:00,Web Form,Personal Loan,Loan approval taking too long,Positive,CUST7563
2025-05-30 11:43:00,Call,Customer Support,Unexpected charges on statement,Negative,CUST9882
2025-05-22 11:43:00,Mobile App,Customer Support,Delayed response from support team,Neutral,CUST3426
2025-06-13 11:43:00,Web Form,Mobile Banking,Unable to reset password,Neutral,CUST7394
2025-06-07 11:43:00,Mobile App,Mobile Banking,Unable to reset password,Negative,CUST3408
